일련번호,이름,생년월일,나이,성별,주소,우편번호,핸드폰번호,직업,고객등급,relational_duration,recept_balance,permit_new_credit_balance,housing_new_balance,exchange_per_year,remittance_per_quantlie,smart_bank_yn,my_money_yn,income_avg,internet_bank_cnt,internet_bank_balance,apt_yn,commerce_class,etc
R00001492,박붕서,1988-01-09,31,M,서울시 용산구 원효로1동,140-111,010-2324-1902,방송통신및정보서비스업,골드스타,14,3895481,6804424,700000,0,0,y,n,18459388,22,9996000,n,영업점,NA
R00001493,김애령,1977-12-16,42,F,서울시 금천구 당산2동,150-042,010-9379-9505,스포츠및여가관련서비스업,프리미엄스타,6,815638,399387800,800000,0,0,n,n,940000,0,0,n,콜센터,NA
R00001494,김북례,1960-12-29,59,M,서울시 서대문구 북가좌1동,120-131,010-4330-9531,운수업,골드스타,7,7216930,524222390,900000,0,0,y,n,950000,32,3828000,n,영업점,NA
R00001495,김응귀,1978-01-22,41,M,서울시 강서구 화곡3동,157-013,010-3133-5837,보건업및사회복지서비스업,프리미엄스타,3,945018,56471198,1000000,0,0,n,n,960000,0,0,n,영업점,NA
R00001496,김담은,1976-03-25,43,F,서울시 성동구 왕십리도선동,133-040,010-4675-8961,제조업,프리미엄스타,11,228286,244363659,1100000,0,0,n,n,970000,0,0,n,영업점,NA
R00001497,홍아니,1961-05-24,58,M,서울시 성동구 응봉동,133-080,010-4118-4769,보건업및사회복지서비스업,골드스타,3,4954687,5268527,1200000,0,0,y,n,980000,0,0,n,콜센터,NA
R00001498,민흔출,1993-12-05,26,F,서울시 동대문구 휘경1동,130-091,010-8104-2270,제조업,MVP스타,20,556154503,13418255,1300000,0,0,n,n,990000,25,21072000,n,영업점,NA
R00001499,김균균,1959-07-29,60,M,서울시 동작구 사당3동,156-093,010-1769-6428,제조업,로얄스타,7,20613733,17536884,1400000,0,0,n,n,100000,12,8652000,n,pb센터,NA
R00001500,신화원,1973-05-29,46,M,서울시 강남구 역삼2동,135-082,010-2826-1933,교육서비스업,프리미엄스타,20,382897,94497658,1500000,0,0,n,n,110000,0,0,y,영업점,NA
R00001501,서백매,1970-08-04,49,M,서울시 중랑구 묵1동,131-141,010-6988-1111,과학및기술서비스업,프리미엄스타,4,467871,19861906,1600000,0,0,n,n,29828476,29,20280000,n,영업점,NA
R00001502,윤칠지,1981-04-11,38,F,서울시 관악구 청룡동,151-023,010-4469-0772,도매및소매업,프리미엄스타,14,918609,2406325,1700000,0,0,y,n,120000,13,16872000,n,영업점,NA
R00001503,송길겸,1985-06-11,34,M,서울시 마포구 용강동,121-070,010-5186-9339,보건업및사회복지서비스업,프리미엄스타,9,475085,388820746,1800000,0,0,n,n,36431273,0,0,n,영업점,NA
R00001504,최능필,1976-01-20,43,M,서울시 동작구 상도4동,156-034,010-9040-2463,금융및보험업,프리미엄스타,4,451940,19592498,1900000,0,0,n,n,130000,26,6540000,n,pb센터,NA
R00001505,심충륜,1949-11-24,70,F,서울시 서초구 서초3동,137-073,010-6411-5898,도매및소매업,프리미엄스타,14,674014,50312761,2000000,0,0,n,n,140000,0,0,n,콜센터,NA
R00001506,박홍렬,1964-11-08,55,F,서울시 양천구 신월3동,158-093,010-6454-9837,방송통신및정보서비스업,프리미엄스타,17,945723,296652335,2100000,0,0,n,n,150000,0,0,n,pb센터,NA
R00001507,정쾌헌,1985-06-07,34,F,서울시 양천구 신월3동,158-093,010-4319-3976,수리및기타개인서비스업,프리미엄스타,18,198900,10430154,2200000,0,0,n,n,160000,0,0,n,영업점,NA
R00001508,송민온,1958-05-01,61,F,서울시 강동구 둔촌2동,134-062,010-5617-1343,교육서비스업,프리미엄스타,5,127222,6835791,2300000,138200000,34550000,y,n,170000,0,0,n,콜센터,NA
R00001509,하묘점,1954-07-20,65,F,서울시 서초구 서초1동,137-071,010-3098-1850,과학및기술서비스업,골드스타,8,7383844,199205797,82445726,0,0,n,n,180000,0,0,n,영업점,NA
R00001510,김수훈,1957-12-28,62,F,서울시 강서구 화곡4동,157-014,010-5135-7053,과학및기술서비스업,골드스타,9,2638053,19895306,2500000,0,0,n,n,190000,0,0,n,영업점,NA
R00001511,유내응,1983-06-04,36,M,서울시 관악구 신림동,151-010,010-8589-2384,제조업,골드스타,20,3908550,48196239,2600000,0,0,n,n,200000,0,0,n,영업점,NA
R00001512,정승기,1985-12-25,34,F,서울시 구로구 수궁동,152-059,010-3746-1978,운수업,프리미엄스타,11,996691,19484209,2700000,0,0,n,n,210000,0,0,n,콜센터,NA
R00001513,김서명,1968-12-17,51,M,서울시 도봉구 쌍문1동,132-031,010-7491-9268,보건업및사회복지서비스업,프리미엄스타,8,315208,320002955,2800000,0,0,n,n,17333658,0,0,n,영업점,NA
R00001514,배어유,1968-09-11,51,F,서울시 금천구 시흥2동,153-032,010-5598-3686,도매및소매업,프리미엄스타,18,234637,11906023,2900000,0,0,n,n,220000,17,15264000,n,영업점,NA
R00001515,이산기,1954-07-25,65,M,서울시 노원구 상계3동,139-203,010-4744-5350,건설업,골드스타,3,4748972,1218413,103066094,0,0,n,n,230000,35,5244000,n,영업점,NA
R00001516,이희녕,1990-04-14,29,F,서울시 성동구 금호3가동,133-093,010-3989-8259,제조업,프리미엄스타,5,717423,3142724,3100000,0,0,y,n,240000,12,19584000,n,영업점,NA
R00001517,이타집,1949-04-24,70,F,서울시 성북구 종암동,136-090,010-3875-1148,보건업및사회복지서비스업,프리미엄스타,5,768823,19484529,3200000,0,0,n,n,250000,0,0,n,pb센터,NA
R00001518,하빛중,1980-08-19,39,F,서울시 성동구 왕십리2동,133-020,010-3298-2765,국방및사회보장행정,프리미엄스타,16,374370,59103040,3300000,0,0,n,n,260000,19,17136000,n,영업점,NA
R00001519,서삼죽,1977-10-17,42,M,서울시 노원구 공릉2동,139-242,010-8976-7614,건설업,골드스타,6,2447870,18098407,3400000,1000000,0,y,n,270000,10,19716000,n,영업점,NA
R00001520,정령률,1948-12-28,71,M,서울시 동작구 신대방1동,156-011,010-9429-3519,사업시설관리및사업지원서비스업,프리미엄스타,6,715093,2396496,3500000,0,0,n,n,280000,0,0,n,영업점,NA
R00001521,조일자,1967-08-06,52,F,서울시 강서구 화곡3동,157-013,010-6113-7128,교육서비스업,프리미엄스타,14,905398,357402436,3600000,0,0,n,n,290000,0,0,n,영업점,NA
R00001522,김번본,1952-08-04,67,M,서울시 강서구 화곡6동,157-016,010-2832-2746,숙박및음식점업,로얄스타,16,23049196,902227608,3700000,0,0,n,n,300000,0,0,n,콜센터,NA
R00001523,한덕숙,1963-01-21,56,M,서울시 성북구 삼선동,136-040,010-2521-9695,도매및소매업,프리미엄스타,6,732700,773332755,3800000,0,0,n,n,310000,0,0,n,영업점,NA
R00001524,이을룡,1992-02-28,27,M,서울시 구로구 구로3동,152-053,010-7463-4028,과학및기술서비스업,프리미엄스타,13,873829,42210775,3900000,0,0,y,n,320000,12,23232000,n,영업점,NA
R00001525,이봉명,1991-10-24,28,F,서울시 동작구 대방동,156-020,010-2864-4909,도매및소매업,프리미엄스타,16,555093,29169056,4000000,0,0,n,n,330000,0,0,n,영업점,NA
R00001526,김억업,1981-06-08,38,M,서울시 서대문구 신촌동,120-140,010-1551-8178,운수업,프리미엄스타,8,632768,142883374,4100000,0,0,n,n,340000,36,17364000,n,영업점,NA
R00001527,김철락,1984-01-01,35,F,서울시 용산구 서빙고동,140-240,010-6826-7270,제조업,로얄스타,18,18641019,529277419,4200000,0,0,n,n,350000,0,0,n,영업점,NA
R00001528,김왕수,1974-06-18,45,M,서울시 동대문구 장안1동,130-101,010-8925-4661,보건업및사회복지서비스업,골드스타,4,5038921,26807123,4300000,0,0,n,n,360000,0,0,n,영업점,NA
R00001529,오어돈,1966-07-04,53,M,서울시 송파구 송파1동,138-171,010-5456-7340,제조업,프리미엄스타,10,888905,715488063,4400000,4500000,1125000,n,n,370000,0,0,n,영업점,NA
R00001530,강로관,1974-07-09,45,F,서울시 강서구 방화1동,157-221,010-8671-5547,방송통신및정보서비스업,로얄스타,11,12611886,1506370,4500000,0,0,y,n,12625455,0,0,n,영업점,NA
R00001531,한교휘,1969-04-27,50,F,서울시 동작구 사당1동,156-091,010-4284-6979,제조업,프리미엄스타,2,850670,29134948,94643521,0,0,n,n,380000,0,0,n,영업점,NA
R00001532,남활자,1975-08-25,44,M,서울시 강북구 삼양동,142-106,010-1735-5749,보건업및사회복지서비스업,로얄스타,12,24382107,774488680,4700000,0,0,n,n,390000,0,0,n,pb센터,NA
R00001533,박가여,1995-11-08,24,M,서울시 강남구 일원본동,135-239,010-6272-3280,금융및보험업,MVP스타,9,328392190,13104443,4800000,0,0,n,n,80481871,0,0,n,pb센터,NA
R00001534,이휴순,1997-08-26,22,M,서울시 성북구 길음1동,136-111,010-2028-3176,사업시설관리및사업지원서비스업,로얄스타,7,25040372,111039456,4900000,0,0,n,n,400000,0,0,n,콜센터,NA
R00001535,이복윤,1996-11-26,23,M,서울시 중랑구 묵1동,131-141,010-8879-2462,스포츠및여가관련서비스업,골드스타,7,4770260,15793205,5000000,0,0,n,n,410000,27,5904000,n,영업점,NA
R00001536,남솔규,1992-04-04,27,M,서울시 성동구 성수2가1동,133-121,010-4298-5206,제조업,프리미엄스타,7,830698,50506252,5100000,0,0,n,n,420000,36,18036000,n,영업점,NA
R00001537,우윤은,1973-07-30,46,F,서울시 동작구 상도1동,156-031,010-2022-7749,제조업,프리미엄스타,2,322460,3647707,5200000,0,0,n,n,430000,0,0,n,pb센터,NA
R00001538,서금늘,1969-11-26,50,M,서울시 광진구 화양동,143-130,010-4743-5920,과학및기술서비스업,프리미엄스타,7,261627,2611717,5300000,0,0,y,n,440000,0,0,n,영업점,NA
R00001539,이명린,1979-11-24,40,F,서울시 송파구 마천1동,138-121,010-6716-3897,교육서비스업,프리미엄스타,12,595265,107033676,5400000,0,0,n,n,450000,0,0,n,영업점,NA
R00001540,손광노,1956-01-13,63,F,서울시 강동구 암사1동,134-051,010-1983-6562,숙박및음식점업,프리미엄스타,2,789556,15493275,5500000,0,0,n,n,460000,0,0,n,pb센터,NA
R00001541,이령점,1962-01-23,57,M,서울시 은평구 역촌동,122-070,010-8602-4690,보건업및사회복지서비스업,프리미엄스타,14,498194,644446950,5600000,0,0,n,n,56951198,22,16944000,n,pb센터,NA
R00001542,김시천,1962-01-27,57,F,서울시 강동구 암사1동,134-051,010-8404-1451,과학및기술서비스업,프리미엄스타,3,383974,2824715,5700000,0,0,n,n,113219194,0,0,n,영업점,NA
R00001543,김향집,1961-07-01,58,F,서울시 중구 황학동,100-440,010-9777-7846,금융및보험업,로얄스타,5,17987033,856816232,5800000,0,0,n,n,29145452,0,0,n,pb센터,NA
R00001544,남쾌현,1972-06-11,47,F,서울시 강남구 수서동,135-220,010-6471-3326,국방및사회보장행정,골드스타,7,4777358,2277315,5900000,0,0,n,n,470000,0,0,n,영업점,NA
R00001545,이솔명,1975-08-03,44,M,서울시 구로구 구로4동,152-054,010-4702-9391,건설업,프리미엄스타,18,432831,20561193,6000000,0,0,n,n,480000,0,0,n,영업점,NA
R00001546,김락선,1961-09-11,58,F,서울시 용산구 용산2가동,140-022,010-6771-7715,제조업,MVP스타,15,335490439,184344511,6100000,0,0,n,n,490000,34,5532000,n,영업점,NA
R00001547,한의경,1965-11-30,54,M,서울시 강남구 대치2동,135-282,010-8218-0525,국방및사회보장행정,로얄스타,3,10928370,143514538,6200000,0,0,n,n,500000,32,9072000,n,영업점,NA
R00001548,김붕보,1968-04-16,51,F,서울시 도봉구 창1동,132-041,010-3852-3778,도매및소매업,프리미엄스타,11,543410,58517405,6300000,0,0,n,n,10980681,0,0,n,영업점,NA
R00001549,정선염,1969-03-15,50,M,서울시 용산구 보광동,140-220,010-1270-7199,과학및기술서비스업,골드스타,4,5060238,79750099,6400000,0,0,n,n,510000,16,12516000,n,pb센터,NA
R00001550,이진분,1985-04-18,34,M,서울시 양천구 신정6동,158-076,010-6884-7389,건설업,골드스타,15,3514659,984919154,6500000,0,0,n,n,520000,27,19896000,n,영업점,NA
R00001551,이치집,1990-10-03,29,M,서울시 노원구 중계3동,139-223,010-7526-3802,수리및기타개인서비스업,프리미엄스타,9,166931,66447372,6600000,0,0,n,n,530000,33,14340000,n,영업점,NA
R00001552,양감예,1971-01-20,48,F,서울시 은평구 응암3동,122-013,010-4162-9922,사업시설관리및사업지원서비스업,골드스타,15,2759245,224221558,6700000,0,0,y,n,540000,0,0,n,영업점,NA
R00001553,박종구,1999-04-22,20,F,서울시 강북구 수유1동,142-071,010-7988-7090,금융및보험업,프리미엄스타,6,147478,812532784,6800000,0,0,n,n,550000,0,0,n,영업점,NA
R00001554,송채기,1962-05-14,57,M,서울시 서대문구 연희동,120-110,010-9168-5904,제조업,MVP스타,9,517230742,28128730,6900000,0,0,n,n,560000,0,0,n,영업점,NA
R00001555,조처연,1994-11-10,25,M,서울시 동대문구 회기동,130-050,010-9856-1753,스포츠및여가관련서비스업,프리미엄스타,8,324165,281142369,7000000,0,0,n,n,35090201,15,23736000,n,pb센터,NA
R00001556,이용근,1986-12-21,33,F,서울시 중구 신당5동,100-455,010-5719-3325,제조업,프리미엄스타,3,598481,106202077,7100000,0,0,n,n,570000,0,0,n,영업점,NA
R00001557,조문려,1963-03-19,56,M,서울시 동작구 상도4동,156-034,010-1808-6556,수리및기타개인서비스업,프리미엄스타,15,261633,242570171,7200000,4600000,0,n,n,580000,0,0,n,영업점,NA
R00001558,이맹매,1982-09-08,37,M,서울시 도봉구 쌍문2동,132-032,010-8699-4746,부동산업및임대업,프리미엄스타,3,342565,16130287,7300000,0,0,n,n,590000,0,0,n,영업점,NA
R00001559,이감트,1971-12-01,48,M,서울시 중랑구 신내1동,131-131,010-4485-1813,보건업및사회복지서비스업,골드스타,5,5349448,39465364,7400000,0,0,n,n,600000,0,0,n,영업점,NA
R00001560,서쾌극,1960-05-20,59,F,서울시 노원구 하계2동,139-232,010-2462-1906,과학및기술서비스업,프리미엄스타,3,178855,438948428,7500000,0,0,n,n,610000,0,0,n,영업점,NA
R00001561,최안령,1985-02-20,34,F,서울시 강남구 일원1동,135-231,010-4452-0401,스포츠및여가관련서비스업,로얄스타,9,19178492,57989494,7600000,0,0,n,n,620000,33,6924000,n,영업점,NA
R00001562,최해해,1958-04-02,61,M,서울시 강서구 방화3동,157-223,010-7223-5030,금융및보험업,골드스타,9,2465891,3830876,7700000,0,0,n,n,630000,0,0,n,영업점,NA
R00001563,김경요,1962-02-28,57,M,서울시 도봉구 쌍문4동,132-034,010-7345-9969,제조업,프리미엄스타,19,956814,4900199,7800000,0,0,n,n,640000,31,9084000,n,영업점,NA
R00001564,전반문,1980-12-15,39,M,서울시 서초구 양재1동,137-131,010-1538-8896,도매및소매업,로얄스타,3,16231265,32689003,7900000,0,0,n,n,650000,0,0,n,영업점,NA
R00001565,전칠묘,1962-08-30,57,M,서울시 동대문구 휘경1동,130-091,010-8891-1616,사업시설관리및사업지원서비스업,프리미엄스타,4,681924,45919602,8000000,0,0,n,n,660000,0,0,n,영업점,NA
R00001566,김훈님,1972-05-13,47,F,서울시 노원구 상계6동,139-206,010-3328-4488,교육서비스업,로얄스타,6,26958866,725730121,8100000,0,0,n,n,18268668,24,9936000,n,영업점,NA
R00001567,이납빈,1996-10-23,23,M,서울시 성북구 동선동,136-051,010-7733-5262,금융및보험업,골드스타,4,6155276,4581223,8200000,0,0,n,n,670000,0,0,n,영업점,NA
R00001568,최령화,1963-10-27,56,F,서울시 금천구 시흥5동,153-035,010-4076-2005,제조업,프리미엄스타,12,447997,30927248,8300000,143600000,35900000,n,n,10008298,0,0,n,영업점,NA
R00001569,방남풍,1990-10-15,29,F,서울시 강동구 길동,134-010,010-5217-0736,금융및보험업,프리미엄스타,18,673158,281571198,8400000,0,0,n,n,680000,0,0,n,콜센터,NA
R00001570,김숭정,1967-02-02,52,M,서울시 강남구 신사동,135-120,010-9392-9731,교육서비스업,골드스타,5,1519404,10789854,8500000,0,0,n,n,690000,0,0,n,영업점,NA
R00001571,이담아,1979-08-07,40,F,서울시 송파구 문정2동,138-202,010-9009-0813,보건업및사회복지서비스업,프리미엄스타,9,438934,2188903,8600000,0,0,n,n,700000,0,0,n,영업점,NA
R00001572,윤남병,1958-11-21,61,M,서울시 강동구 둔촌1동,134-061,010-5835-8786,건설업,프리미엄스타,13,22763,27241802,8700000,0,0,n,n,710000,14,19872000,n,영업점,NA
R00001573,김생면,1998-07-20,21,F,서울시 금천구 문래동,150-090,010-1815-0155,숙박및음식점업,골드스타,19,9536943,60737097,8800000,0,0,n,n,720000,19,23640000,n,영업점,NA
R00001574,황화국,1967-04-02,52,M,서울시 양천구 신정4동,158-074,010-1169-6216,과학및기술서비스업,로얄스타,12,16145719,46734435,8900000,0,0,n,n,730000,0,0,n,영업점,NA
R00001575,이존부,1948-08-01,71,F,서울시 강동구 암사1동,134-051,010-9585-0043,제조업,프리미엄스타,16,472201,11782756,119016804,0,0,n,n,740000,0,0,n,영업점,NA
R00001576,이경철,1997-05-25,22,M,서울시 노원구 상계10동,139-210,010-7267-1722,제조업,골드스타,2,1443976,79107256,9100000,0,0,n,n,750000,39,900000,n,영업점,NA
R00001577,송죽롱,1997-05-31,22,M,서울시 성북구 장위2동,136-142,010-8103-4844,국방및사회보장행정,프리미엄스타,17,81406,37012320,9200000,0,0,n,n,760000,0,0,y,영업점,NA
R00001578,임광형,1955-01-06,64,F,서울시 동작구 상도1동,156-031,010-2364-7178,제조업,프리미엄스타,8,148591,23221627,9300000,0,0,n,n,770000,0,0,n,영업점,NA
R00001579,김사의,1955-04-27,64,F,서울시 양천구 신월4동,158-094,010-5495-4598,도매및소매업,로얄스타,6,13576718,64301263,9400000,0,0,n,n,780000,0,0,n,영업점,NA
R00001580,김질죽,1987-12-25,32,M,서울시 강동구 고덕2동,134-082,010-8491-4400,교육서비스업,골드스타,3,3550134,32803229,9500000,0,0,n,n,790000,0,0,y,영업점,NA
R00001581,이판광,1953-03-16,66,M,서울시 강북구 우이동,142-090,010-3391-3662,도매및소매업,프리미엄스타,5,304116,18326947,9600000,0,0,n,n,800000,34,22224000,n,영업점,NA
R00001582,한내술,1977-08-14,42,F,서울시 동작구 사당3동,156-093,010-4685-9346,방송통신및정보서비스업,프리미엄스타,6,473013,50622225,119715724,0,0,n,n,810000,27,13872000,n,영업점,NA
R00001583,백예계,1994-08-21,25,F,서울시 성동구 행당2동,133-072,010-5666-5265,부동산업및임대업,프리미엄스타,11,107492,6850453,9800000,0,0,n,n,27483219,0,0,n,pb센터,NA
R00001584,박서휘,1982-12-06,37,F,서울시 동대문구 전농1동,130-021,010-7538-9495,과학및기술서비스업,프리미엄스타,14,655680,65129011,9900000,0,0,n,n,820000,0,0,n,pb센터,NA
R00001585,김헌니,1963-10-10,56,F,서울시 동대문구 휘경2동,130-092,010-7843-5530,보건업및사회복지서비스업,프리미엄스타,9,368091,2459533,100000,0,0,n,n,830000,0,0,n,영업점,NA
R00001586,정후령,1979-08-31,40,M,서울시 송파구 방이2동,138-052,010-4901-9183,제조업,프리미엄스타,1,417652,13839865,200000,0,0,y,n,840000,40,588000,n,영업점,NA
R00001587,조주본,1987-08-01,32,F,서울시 양천구 신정2동,158-072,010-1979-8604,제조업,프리미엄스타,11,586208,3490592,300000,0,0,n,n,850000,0,0,n,영업점,NA
R00001588,김견슬,1968-10-20,51,F,서울시 노원구 상계10동,139-210,010-9509-0894,제조업,MVP스타,17,447350836,2053090,400000,0,0,n,n,860000,11,4536000,n,영업점,NA
R00001589,주번환,1975-09-28,44,F,서울시 금천구 신길3동,150-053,010-9642-7063,방송통신및정보서비스업,MVP스타,10,915444240,12593416,500000,0,0,n,n,25134989,13,17268000,n,영업점,NA
R00001590,박숭송,1975-09-22,44,F,서울시 양천구 목1동,158-051,010-9643-2033,금융및보험업,프리미엄스타,13,354659,3924614,600000,6100000,0,n,n,85471863,0,0,n,pb센터,NA
R00001591,이도초,1962-05-03,57,M,서울시 강동구 성내1동,134-031,010-1478-9760,제조업,MVP스타,6,469660384,83700309,700000,0,0,n,n,17883611,0,0,n,pb센터,NA
R00001592,손치정,1959-08-21,60,M,서울시 금천구 독산2동,153-012,010-7546-2076,도매및소매업,프리미엄스타,11,469595,3960739,800000,0,0,n,n,870000,0,0,n,콜센터,NA
R00001593,김재훈,1968-09-03,51,M,서울시 강서구 화곡1동,157-011,010-7955-0543,제조업,프리미엄스타,19,35113,1505069,900000,3600000,900000,n,n,880000,27,14664000,n,pb센터,NA
R00001594,정로성,1968-06-28,51,M,서울시 동대문구 제기동,130-060,010-8900-0421,제조업,골드스타,7,3213514,17787454,1000000,0,0,n,n,29107771,25,6576000,n,콜센터,NA
R00001595,구중포,1958-02-24,61,M,서울시 강동구 천호2동,134-022,010-6511-2248,보건업및사회복지서비스업,프리미엄스타,2,547498,52050307,1100000,0,0,n,n,890000,39,4536000,n,pb센터,NA
R00001596,오표발,1974-03-08,45,F,서울시 서초구 잠원동,137-030,010-6658-7580,국방및사회보장행정,프리미엄스타,12,91054,200821739,1200000,22000000,0,n,n,18542653,0,0,n,영업점,NA
R00001597,김풍심,1977-08-28,42,F,서울시 도봉구 창4동,132-044,010-1194-8972,제조업,프리미엄스타,5,328969,4242908,1300000,0,0,n,n,900000,0,0,n,영업점,NA
R00001598,현외별,1962-01-15,57,M,서울시 양천구 목2동,158-052,010-1646-1073,제조업,골드스타,6,3766066,949209668,1400000,0,0,n,n,910000,0,0,n,영업점,NA
R00001599,황지공,1990-04-23,29,M,서울시 광진구 중곡2동,143-222,010-1336-7035,수리및기타개인서비스업,MVP스타,11,560482232,2440835,1500000,0,0,n,n,920000,0,0,y,영업점,NA
R00001600,지방본,1996-10-13,23,M,서울시 중구 광희동,100-410,010-8425-8734,사업시설관리및사업지원서비스업,프리미엄스타,18,724590,476582399,1600000,0,0,n,n,930000,0,0,n,영업점,NA
R00001601,이등묵,1976-12-27,43,M,서울시 강서구 화곡1동,157-011,010-6894-6381,운수업,골드스타,7,5897976,153083241,1700000,0,0,n,n,940000,21,16080000,n,영업점,NA
R00001602,김심건,1954-06-07,65,F,서울시 강동구 고덕2동,134-082,010-2590-8939,국방및사회보장행정,프리미엄스타,6,642770,1771812,71843420,3900000,975000,y,n,950000,0,0,n,영업점,NA
R00001603,강존심,1959-12-15,60,M,서울시 도봉구 쌍문2동,132-032,010-4244-3654,숙박및음식점업,프리미엄스타,6,240261,2008552,1900000,0,0,n,n,960000,0,0,n,영업점,NA
R00001604,조무출,1982-02-02,37,F,서울시 구로구 오류2동,152-102,010-6752-1943,국방및사회보장행정,프리미엄스타,19,383319,13221001,2000000,0,0,n,n,970000,0,0,n,영업점,NA
R00001605,송증조,1991-02-03,28,F,서울시 서대문구 북가좌2동,120-132,010-1102-9277,사업시설관리및사업지원서비스업,프리미엄스타,14,97870,68396727,2100000,0,0,n,n,42562681,0,0,n,pb센터,NA
R00001606,홍수섭,1968-03-12,51,M,서울시 서대문구 홍은1동,120-101,010-3216-0175,금융및보험업,프리미엄스타,2,363796,11762397,2200000,0,0,n,n,980000,36,624000,n,영업점,NA
R00001607,정걸란,1993-03-07,26,M,서울시 서대문구 연희동,120-110,010-6480-8321,보건업및사회복지서비스업,프리미엄스타,9,648633,275952451,2300000,0,0,y,n,990000,20,8544000,n,pb센터,NA
R00001608,최안위,1960-10-12,59,M,서울시 구로구 가리봉동,152-020,010-3758-3136,도매및소매업,프리미엄스타,15,506772,2001111,2400000,0,0,n,n,100000,0,0,n,영업점,NA
R00001609,김양별,1981-08-12,38,M,서울시 서초구 방배4동,137-064,010-8238-5025,국방및사회보장행정,골드스타,10,8147282,55337568,2500000,0,0,n,n,110000,0,0,n,영업점,NA
R00001610,장학술,1969-03-20,50,M,서울시 서초구 방배4동,137-064,010-3855-3271,국방및사회보장행정,골드스타,3,6798424,43033093,2600000,0,0,n,n,120000,38,948000,n,콜센터,NA
R00001611,장견령,1979-08-11,40,F,서울시 동작구 상도1동,156-031,010-9951-7523,건설업,프리미엄스타,2,658705,19059499,2700000,0,0,n,n,130000,0,0,n,영업점,NA
R00001612,임평언,1952-06-04,67,F,서울시 강남구 역삼2동,135-082,010-8748-0711,교육서비스업,프리미엄스타,3,364977,273330658,2800000,0,0,n,n,140000,0,0,n,영업점,NA
R00001613,김샛록,1985-09-06,34,F,서울시 서초구 서초3동,137-073,010-9982-5147,도매및소매업,골드스타,10,2400961,15216033,2900000,0,0,n,n,150000,0,0,n,pb센터,NA
R00001614,김익효,1963-10-17,56,M,서울시 강서구 등촌3동,157-033,010-6664-3083,방송통신및정보서비스업,프리미엄스타,16,835723,9016541,3000000,0,0,n,n,160000,0,0,n,영업점,NA
R00001615,김낙하,1965-12-02,54,F,서울시 양천구 신월5동,158-095,010-4296-2015,건설업,MVP스타,15,213537829,9916738,3100000,0,0,n,n,170000,0,0,y,영업점,NA
R00001616,권로종,1980-02-21,39,M,서울시 중랑구 면목본동,131-208,010-9248-6581,국방및사회보장행정,프리미엄스타,23,309893,56421156,3200000,0,0,n,n,180000,0,0,n,pb센터,NA
R00001617,이인규,1968-06-25,51,F,서울시 서대문구 남가좌2동,120-122,010-5032-7470,도매및소매업,골드스타,4,8380036,6248028,3300000,0,0,y,n,190000,35,4692000,y,영업점,NA
R00001618,백다돈,1988-04-20,31,M,서울시 성동구 성수1가1동,133-110,010-7452-8195,숙박및음식점업,로얄스타,3,16309980,17016287,3400000,0,0,n,n,200000,11,876000,n,영업점,NA
R00001619,김창님,1951-11-01,68,F,서울시 동대문구 답십리1동,130-031,010-7805-4340,사업시설관리및사업지원서비스업,로얄스타,8,11333082,28548023,3500000,0,0,n,n,210000,0,0,n,영업점,NA
R00001620,이흥일,1967-01-04,52,F,서울시 구로구 구로2동,152-052,010-8370-2694,보건업및사회복지서비스업,프리미엄스타,6,465642,22969473,3600000,0,0,n,n,220000,37,3600000,n,영업점,NA
R00001621,장련야,1964-04-06,55,F,서울시 양천구 목2동,158-052,010-6465-3033,보건업및사회복지서비스업,골드스타,9,5985080,49176158,3700000,0,0,n,n,230000,0,0,n,콜센터,NA
R00001622,민계덕,1953-01-10,66,F,서울시 강동구 고덕1동,134-081,010-2364-3117,제조업,로얄스타,3,28426578,27039713,43801618,0,0,n,n,240000,26,12072000,n,영업점,NA
R00001623,김슬량,1973-05-13,46,F,서울시 구로구 오류2동,152-102,010-7326-7334,과학및기술서비스업,프리미엄스타,17,838203,164182524,3900000,0,0,n,n,39916563,26,1728000,n,pb센터,NA
R00001624,최흔묘,1964-05-27,55,F,서울시 송파구 마천2동,138-122,010-6460-8090,운수업,프리미엄스타,4,43667,1096146,4000000,0,0,n,n,250000,19,11700000,n,영업점,NA
R00001625,김탁균,1981-07-04,38,M,서울시 광진구 중곡1동,143-221,010-8886-2746,건설업,프리미엄스타,3,296831,15861630,4100000,0,0,n,n,56861745,23,19500000,n,영업점,NA
R00001626,장월구,1987-04-10,32,M,서울시 구로구 고척2동,152-082,010-4443-4616,건설업,골드스타,4,6899684,13968078,4200000,0,0,n,n,260000,0,0,n,영업점,NA
R00001627,권타학,1974-04-18,45,M,서울시 관악구 성현동,151-018,010-8866-1796,과학및기술서비스업,프리미엄스타,9,199125,3927823,4300000,0,0,y,n,270000,0,0,n,영업점,NA
R00001628,천안애,1989-11-12,30,M,서울시 동작구 상도3동,156-033,010-7490-2505,도매및소매업,프리미엄스타,11,94688,39197965,4400000,0,0,n,n,280000,0,0,n,콜센터,NA
R00001629,김진립,1981-08-09,38,M,서울시 종로구 숭인1동,110-551,010-2773-1969,국방및사회보장행정,프리미엄스타,9,621371,29848278,4500000,0,0,n,n,290000,0,0,n,pb센터,NA
